Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5NCnVxcLV3XriDtoygz3TK,"in your head","in your head","cloudyfield",2024-02-01,170016,64,false,,2025-08-14T11:54:36Z,"shoegaze","Project Exlife",0.526,0.649,1,-5.647,1,0.0287,0.184,0.685,0.109,0.236,129.97,4
spotify:track:3enIFKYJKSVyjXVzmup28I,"Damocles","Even In Arcadia","Sleep Token",2025-05-09,264836,75,false,,2025-08-14T11:47:36Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.536,0.593,6,-6.722,1,0.0319,0.0296,0.00000119,0.104,0.265,156.082,4
spotify:track:3AdXwuFn7j21HNiFMXvZXt,"Caramel","Caramel","Sleep Token",2025-04-04,290110,70,false,,2025-08-14T11:41:35Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.631,0.775,5,-5.385,0,0.0331,0.00432,0.00000917,0.061,0.29,94.01,4
spotify:track:4Fx7vZ0KV74TKZbgSjVwUx,"Into Dust","Into Dust","YOUTH 83,Forhill,Tima",2020-04-08,192000,29,false,,2025-08-05T08:34:14Z,"synthwave,chillwave,vaporwave","YOUTH 83",0.686,0.774,0,-6.212,1,0.0323,0.00476,0.454,0.194,0.386,114.99,4
spotify:track:4HNt7H7huB5oPlEi6GGICI,"Wonders","Yume","FLOYA",2024-03-08,249835,44,false,,2025-07-22T10:19:06Z,"","Arising Empire",0.534,0.925,8,-3.053,1,0.0385,0.0486,0,0.102,0.236,110.008,4
spotify:track:2yH6eL6f1Ada5MnmNpiPbr,"blindfolded","blindfolded","Against The Current",2022-12-02,199240,50,false,,2025-07-22T10:14:40Z,"pop punk","Against the Current",0.507,0.975,7,-2.922,0,0.0495,0.000286,0,0.0784,0.426,141.984,4
spotify:track:6mfiGqZw4AqXA1nqo3EzIF,"lullaby","fever","Against The Current",2021-07-23,218204,48,false,,2025-07-22T10:12:15Z,"pop punk","Fueled By Ramen",0.598,0.784,8,-5.979,0,0.059,0.124,0,0.424,0.447,108.031,4
spotify:track:26KzemqfKj4V1U8GAwF2BJ,"burn it down","fever","Against The Current",2021-07-23,196718,40,false,,2025-07-22T10:08:44Z,"pop punk","Fueled By Ramen",0.501,0.877,7,-4.377,1,0.042,0.0000615,0,0.13,0.604,154.923,4
spotify:track:5z0QlOV93W6Yo7DG2SYOJP,"weapon","fever","Against The Current",2021-07-23,197209,55,false,,2025-07-22T09:55:17Z,"pop punk","Fueled By Ramen",0.402,0.924,7,-4.089,0,0.156,0.00021,0,0.237,0.443,180.075,4
spotify:track:1MBgaJoraHR7RHgAV58QU4,"None Of Us Are Free","Don't Give Up On Me","Solomon Burke",2002,329386,46,false,,2025-07-18T14:43:48Z,"soul,soul blues,classic soul,motown","Anti/Epitaph",0.674,0.658,5,-9.647,0,0.104,0.404,0.00000134,0.0981,0.677,143.292,4
